enodebid,lat,lon
30628,55.93167,-3.49667
31477,55.93000,-3.47250
28038,55.93972,-3.47611
28587,55.91222,-3.51056
32989,55.91028,-3.51750
29306,55.93528,-3.44750
29307,55.92833,-3.38917
33327,55.93222,-3.39361
32877,55.93417,-3.40139
32170,55.94833,-3.36389
33365,55.94000,-3.36222
13089,55.95361,-3.37056
32595,55.93667,-3.33889
12032,55.93750,-3.31750
15212,55.94028,-3.31194
12341,55.94139,-3.27167
12362,55.94833,-3.26750
34032,55.94500,-3.24500
11272,55.95583,-3.24278
14389,55.95528,-3.22333
12550,55.95111,-3.22056
14423,55.94861,-3.21583
12833,55.95000,-3.20639
28055,55.87722,-3.45667
15443,55.98306,-3.36639
33364,55.96500,-3.39444
12657,55.95056,-3.27278
12030,55.95083,-3.18750
12031,55.96056,-3.25694		
37537,55.95333,-3.20583
10944,55.970106,-3.324206
33053,55.886848,-3.361431
32370,55.957255,-3.416664
14727,55.892806,-3.282262
11376,55.922829,-3.312576
17246,55.926757,-3.299285
43145,55.924069,-3.276588
11580,55.926704,-3.289441
32784,55.930105,-3.255314
11679,55.908773,-3.246394
13665,55.900752,-3.233575
11934,55.912184,-3.200558
15313,55.905526,-3.223063
10941,55.934052,-3.209777
14725,55.903932,-3.205925
13664,55.892714,-3.206373
31664,55.878547,-3.037725
34124,55.881843,-3.165936
25653,55.899086,-3.167433
14390,55.902056,-3.155972
12429,55.908919,-3.154047
31967,55.943820,-3.056188
30896,55.916410,-3.138894
35733,55.918352,-3.229834
12037,55.920140,-3.256465
12144,55.932845,-3.270036
26112,55.939838,-3.292533
14851,55.952728,-3.296808
11560,55.928953,-3.226972
26302,55.959131,-3.278373
12147,55.961076,-3.306073
12148,55.962721,-3.273253
12551,55.947215,-3.207373
37799, 55.979353,-3.409056
26165, 55.947582,-3.318478
16752, 56.104561,-3.365901
33472, 56.004238,-3.588569
22425, 56.028322,-3.413199
16786, 56.026514,-3.391185
19351, 56.037197,-3.398748
20566, 56.059688,-3.380859
22434, 56.084391,-3.404692
19863, 56.094919,-3.397119
14453, 55.938559,-3.231704
13211, 55.917399,-3.299314
14934, 55.973225,-3.311509
11321, 55.972749,-3.273062
18479, 56.081531,-3.553856
11335, 55.970496,-3.251498
12669, 55.972348,-3.262958
31253, 55.887635,-3.424200
12025, 55.956314,-3.281140
26623, 55.914983,-3.282357
31981, 55.961064,-3.458722
32856, 55.978454,-3.486144
16751, 56.049661,-3.344201
21423, 56.086750,-3.372389
18462, 56.069623,-3.458332
28058, 56.023381,-3.830005
19353, 56.027031,-3.437791
22436, 55.818963,-3.517982
12146, 55.968279,-3.235742
12039, 55.970592,-3.214015
33293, 55.966512,-3.205949
12033, 55.974608,-3.207151
11336, 55.977010,-3.247846
26322, 55.978331,-3.571760
32048, 55.984058,-3.608914
32226, 55.981653,-3.629171
27258, 55.990663,-3.706697
30859, 55.998393,-3.815562
28466, 55.988746,-3.688826
32035, 55.978174,-3.697581
33666, 55.996087,-3.712201
30815, 56.013992,-3.704067
33665, 56.015168,-3.729917
30864, 56.017761,-3.751240
29330, 55.996557,-3.777127
33064, 55.975054,-3.820581
21430, 56.098233,-3.735611
33550, 56.035681,-3.784392
33597, 56.045006,-3.802616
31560, 56.041216,-3.826572
31696, 56.075597,-3.877113
27899, 56.074795,-3.924650
33403, 56.109293,-3.940876
28764, 56.086868,-3.902957
31671, 56.090827,-3.917399
27940, 56.116291,-3.934321
33139, 56.123120,-3.935923
33480, 56.153973,-3.963071
30863, 55.994192,-3.814921
27941, 56.134882,-3.919258
22438, 56.135160,-3.820879
28714, 56.142584,-3.916099
33232, 55.904208,-3.621743
31633, 56.117826,-3.915520
29248, 56.112643,-3.918671
31711, 56.102781,-3.956082
31876, 56.063234,-3.880263
33590, 55.993736,-3.749513
30814, 55.997347,-3.730503
26326, 55.992379,-3.579940
